city,done,count,url
spain-national,yes,136,https://es.wikipedia.org/wiki/Anexo:Fiestas_de_Interés_Turístico_Nacional_(España)
spain-international,yes,62,https://es.wikipedia.org/wiki/Anexo:Fiestas_de_Interés_Turístico_Internacional_(España)
madrid,yes,29,https://es.wikipedia.org/wiki/Anexo:Fiestas_de_interés_turístico_de_la_Comunidad_de_Madrid
anadalucia,no,-,https://es.wikipedia.org/wiki/Anexo:Fiestas_de_interés_turístico_de_Andalucía



